year,season,type,club1,club2,result1,result2,date,time,index,dates,scheduleid
2017,summer,常规赛,OMG,RNG,1,2,08-12,18:00,https://www.wanplus.com/schedule/33118.html,2017/08/12 18:00:00,33118
2017,summer,常规赛,DAN,WE,0,2,08-13,14:00,https://www.wanplus.com/schedule/33119.html,2017/08/13 14:00:00,33119
2017,summer,常规赛,IG,IM,2,0,08-13,16:00,https://www.wanplus.com/schedule/33301.html,2017/08/13 16:00:00,33301
2017,summer,常规赛,LNG,EDG,1,2,08-13,18:00,https://www.wanplus.com/schedule/33302.html,2017/08/13 18:00:00,33302
2017,summer,常规赛,LNG,WE,2,1,08-17,17:00,https://www.wanplus.com/schedule/33120.html,2017/08/17 17:00:00,33120
2017,summer,常规赛,IG,EDG,2,0,08-17,19:00,https://www.wanplus.com/schedule/33121.html,2017/08/17 19:00:00,33121
2017,summer,常规赛,LGD,RNG,0,2,08-18,17:00,https://www.wanplus.com/schedule/33122.html,2017/08/18 17:00:00,33122
2017,summer,常规赛,JDG,OMG,2,0,08-18,19:00,https://www.wanplus.com/schedule/33123.html,2017/08/18 19:00:00,33123
2017,summer,常规赛,LNG,IM,1,2,08-19,14:00,https://www.wanplus.com/schedule/33124.html,2017/08/19 14:00:00,33124
2017,summer,常规赛,EDG,WE,1,2,08-19,16:00,https://www.wanplus.com/schedule/33127.html,2017/08/19 16:00:00,33127
2017,summer,常规赛,DAN,IG,1,2,08-19,18:00,https://www.wanplus.com/schedule/33125.html,2017/08/19 18:00:00,33125
2017,summer,常规赛,JDG,SN,0,2,08-20,14:00,https://www.wanplus.com/schedule/33126.html,2017/08/20 14:00:00,33126
2017,summer,常规赛,LGD,OMG,1,2,08-20,16:00,https://www.wanplus.com/schedule/33128.html,2017/08/20 16:00:00,33128
2017,summer,常规赛,NB,RNG,0,2,08-20,18:00,https://www.wanplus.com/schedule/33129.html,2017/08/20 18:00:00,33129
2017,summer,季后赛_A_1,IG,SN,3,0,08-22,14:00,https://www.wanplus.com/schedule/33834.html,2017/08/22 14:00:00,33834
2017,summer,季后赛_B_1,NB,LNG,3,0,08-22,16:00,https://www.wanplus.com/schedule/33837.html,2017/08/22 16:00:00,33837
2017,summer,季后赛_A_2,OMG,IG,1,3,08-23,14:00,https://www.wanplus.com/schedule/33835.html,2017/08/23 14:00:00,33835
2017,summer,季后赛_B_2,WE,NB,3,0,08-23,18:00,https://www.wanplus.com/schedule/33838.html,2017/08/23 18:00:00,33838
2017,summer,季后赛_A_3,EDG,IG,3,2,08-25,14:00,https://www.wanplus.com/schedule/33836.html,2017/08/25 14:00:00,33836
2017,summer,季后赛_B_3,RNG,WE,3,2,08-25,18:00,https://www.wanplus.com/schedule/33839.html,2017/08/25 18:00:00,33839
2017,summer,季军赛,IG,WE,3,2,08-26,16:00,https://www.wanplus.com/schedule/34284.html,2017/08/26 16:00:00,34284
2017,summer,决赛阶段,EDG,RNG,3,2,09-01,15:00,https://www.wanplus.com/schedule/34283.html,2017/09/01 15:00:00,34283
2018,spring,常规赛,IG,RNG,1,2,01-15,17:00,https://www.wanplus.com/schedule/38798.html,2018/01/15 17:00:00,38798
2018,spring,常规赛,TES,SN,0,2,01-15,19:00,https://www.wanplus.com/schedule/38799.html,2018/01/15 19:00:00,38799
2018,spring,常规赛,VG,BLG,0,2,01-16,17:00,https://www.wanplus.com/schedule/38800.html,2018/01/16 17:00:00,38800
2018,spring,常规赛,FPX,EDG,0,2,01-16,19:00,https://www.wanplus.com/schedule/38801.html,2018/01/16 19:00:00,38801
